first_purchase_month,purchase_month,user_id
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,252895
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,252895
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,252895
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,252895
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,252895
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,252895
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,252895
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,252895
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,252895
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,106958
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,404115
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,404115
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,546473
2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,247529
2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,403165
2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,81990
2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,403165
2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,398604
2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,106958
2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,403165
2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,403165
2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,252875
2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,403165
2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,403165
2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,116374
2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,116374
2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,52254
2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,53161
2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,35860
2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,106958
2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,403165
2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,53161
2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,432634
2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,403165
2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,403165
2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,473175
2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,398604
2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,53161
2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,247529
2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,247529
2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,247529
2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,247529
2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,247529
2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,247529
2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,398604
2020-02-01T00:00:00Z,2020-04-01T00:00:00Z,403165
2020-02-01T00:00:00Z,2020-04-01T00:00:00Z,546473
2020-02-01T00:00:00Z,2020-04-01T00:00:00Z,403165
2020-02-01T00:00:00Z,2020-04-01T00:00:00Z,403165
2020-02-01T00:00:00Z,2020-04-01T00:00:00Z,512017
2020-02-01T00:00:00Z,2020-04-01T00:00:00Z,546473
2020-02-01T00:00:00Z,2020-04-01T00:00:00Z,35629
2020-02-01T00:00:00Z,2020-04-01T00:00:00Z,546473
2020-02-01T00:00:00Z,2020-04-01T00:00:00Z,106958
2020-02-01T00:00:00Z,2020-04-01T00:00:00Z,35629
2020-02-01T00:00:00Z,2020-04-01T00:00:00Z,403165
2020-02-01T00:00:00Z,2020-04-01T00:00:00Z,403165
2020-02-01T00:00:00Z,2020-04-01T00:00:00Z,403165
2020-02-01T00:00:00Z,2020-04-01T00:00:00Z,106958
2020-02-01T00:00:00Z,2020-04-01T00:00:00Z,546473
2020-02-01T00:00:00Z,2020-04-01T00:00:00Z,403165
2020-02-01T00:00:00Z,2020-04-01T00:00:00Z,18
2020-02-01T00:00:00Z,2020-04-01T00:00:00Z,537807
2020-02-01T00:00:00Z,2020-04-01T00:00:00Z,512017
2020-02-01T00:00:00Z,2020-04-01T00:00:00Z,512017
2020-02-01T00:00:00Z,2020-05-01T00:00:00Z,600690
2020-02-01T00:00:00Z,2020-05-01T00:00:00Z,116374
2020-02-01T00:00:00Z,2020-05-01T00:00:00Z,247529
2020-02-01T00:00:00Z,2020-05-01T00:00:00Z,512017
2020-02-01T00:00:00Z,2020-05-01T00:00:00Z,299788
2020-02-01T00:00:00Z,2020-05-01T00:00:00Z,53161
2020-02-01T00:00:00Z,2020-05-01T00:00:00Z,53161
2020-02-01T00:00:00Z,2020-05-01T00:00:00Z,427246
2020-02-01T00:00:00Z,2020-05-01T00:00:00Z,403165
2020-02-01T00:00:00Z,2020-05-01T00:00:00Z,402080
2020-02-01T00:00:00Z,2020-05-01T00:00:00Z,116374
2020-02-01T00:00:00Z,2020-06-01T00:00:00Z,240607
2020-02-01T00:00:00Z,2020-06-01T00:00:00Z,415732
2020-02-01T00:00:00Z,2020-06-01T00:00:00Z,403165
2020-02-01T00:00:00Z,2020-06-01T00:00:00Z,247529
